Well,Temperature,Value
A01,26,9994.121212
A01,27,10061.09091
A01,28,9718.181818
A01,29,8358.318182
A01,30,7427.727273
A01,31,7188.378788
A01,32,7069.378788
A01,33,7000.954545
A01,34,6967.272727
A01,35,6881.666667
A01,36,6763.045455
A01,37,6593.863636
A01,38,6483.090909
A01,39,6340
A01,40,6219.030303
A01,41,6117.439394
A01,42,6029.5
A01,43,5947.545455
A01,44,5862.742424
A01,45,5799.227273
A01,46,5781.439394
A01,47,5719.409091
A01,48,5693.530303
A01,49,5673.757576
A01,50,5687.287879
A01,51,5667.166667
A01,52,5694.69697
A01,53,5719.969697
A01,54,5712.833333
A01,55,5700.136364
A01,56,5639.227273
A01,57,5579.515152
A01,58,5531.863636
A01,59,5507.939394
A01,60,5413.772727
A01,61,5370.272727
A01,62,5289.833333
A01,63,5241.742424
A01,64,5190.121212
A01,65,5114.393939
A01,66,5056.893939
A01,67,5019.439394
A01,68,4985.606061
A01,69,4953.454545
A01,70,4961.075758
A01,71,4984.19697
A01,72,5024.848485
A01,73,5091
A01,74,5170.712121
A01,75,5382.166667
A01,76,5663
A01,77,6290.090909
A01,78,7661.454545
A01,79,10554.75758
A01,80,14021.75758
A01,81,16687.90909
A01,82,17319.36364
A01,83,17126.84848
A01,84,16737.95455
A01,85,16265.74242
A01,86,15716.87879
A01,87,15195.5303
A01,88,14649.15152
A01,89,14106.75758
A01,90,13579.31818
A01,91,13119.27273
A01,92,12633.56061
A01,93,12184
A01,94,11791.09091
A01,95,11405.39394
A02,26,4629.393939
A02,27,4881.757576
A02,28,4900.545455
A02,29,4739.045455
A02,30,4542.909091
A02,31,4463.015152
A02,32,4391.015152
A02,33,4332.969697
A02,34,4246.984848
A02,35,4176.80303
A02,36,4116.121212
A02,37,4037.515152
A02,38,3994.545455
A02,39,3892.863636
A02,40,3834.181818
A02,41,3765.136364
A02,42,3728.893939
A02,43,3695.272727
A02,44,3685.454545
A02,45,3666.045455
A02,46,3658.893939
A02,47,3678.545455
A02,48,3733.515152
A02,49,3777.181818
A02,50,3797.909091
A02,51,3805.333333
A02,52,3818.5
A02,53,3811.454545
A02,54,3804.469697
A02,55,3774.393939
A02,56,3702.454545
A02,57,3656.030303
A02,58,3599.424242
A02,59,3551.621212
A02,60,3514.969697
A02,61,3443.121212
A02,62,3395.136364
A02,63,3350.651515
A02,64,3320.287879
A02,65,3294.333333
A02,66,3287.909091
A02,67,3285.287879
A02,68,3301.969697
A02,69,3336.984848
A02,70,3402.787879
A02,71,3487.681818
A02,72,3627.393939
A02,73,3890.318182
A02,74,4361.151515
A02,75,5541.984848
A02,76,7967.818182
A02,77,11656.65152
A02,78,15291.57576
A02,79,16977.31818
A02,80,17076.60606
A02,81,16786.84848
A02,82,16203.5303
A02,83,15624.56061
A02,84,15008.21212
A02,85,14391.9697
A02,86,13804.9697
A02,87,13218.13636
A02,88,12697.57576
A02,89,12311.80303
A02,90,11869.33333
A02,91,11348.25758
A02,92,10928.43939
A02,93,10484.60606
A02,94,10035.69697
A02,95,9567.287879
A03,26,4600.015152
A03,27,4496.787879
A03,28,4383.742424
A03,29,4215.242424
A03,30,4116.30303
A03,31,4045.924242
A03,32,4027.075758
A03,33,3986.712121
A03,34,3914.212121
A03,35,3803.454545
A03,36,3672.636364
A03,37,3583.727273
A03,38,3529.484848
A03,39,3438.454545
A03,40,3370.121212
A03,41,3300.575758
A03,42,3242.393939
A03,43,3179.454545
A03,44,3125.272727
A03,45,3065.848485
A03,46,3021.984848
A03,47,2977.090909
A03,48,2950.80303
A03,49,2940.863636
A03,50,2945.954545
A03,51,2962.212121
A03,52,2996.681818
A03,53,3050.454545
A03,54,3131.666667
A03,55,3187.742424
A03,56,3206.530303
A03,57,3232.984848
A03,58,3235.606061
A03,59,3215.030303
A03,60,3188.015152
A03,61,3149.666667
A03,62,3106.166667
A03,63,3056.893939
A03,64,3012.106061
A03,65,2967.545455
A03,66,2937.212121
A03,67,2916.287879
A03,68,2907.166667
A03,69,2906.651515
A03,70,2930.545455
A03,71,2976.484848
A03,72,3031.924242
A03,73,3123.378788
A03,74,3254.5
A03,75,3543.863636
A03,76,4068.606061
A03,77,5122.954545
A03,78,7430.318182
A03,79,11172.72727
A03,80,14128.77273
A03,81,15495.59091
A03,82,15470.62121
A03,83,15135.40909
A03,84,14664.34848
A03,85,14092.9697
A03,86,13542.4697
A03,87,12973.66667
A03,88,12460.65152
A03,89,11886.66667
A03,90,11383.13636
A03,91,10897.78788
A03,92,10424.66667
A03,93,9968.227273
A03,94,9539.893939
A03,95,9084.151515
A04,26,31541.89394
A04,27,31481.92424
A04,28,31504.63636
A04,29,31645.98485
A04,30,31506.40909
A04,31,30770.04545
A04,32,29939.42424
A04,33,29209.0303
A04,34,27852.5303
A04,35,26988.56061
A04,36,26579.90909
A04,37,25898.93939
A04,38,25234.83333
A04,39,24791.80303
A04,40,24412.62121
A04,41,23583.09091
A04,42,22792.07576
A04,43,21842.16667
A04,44,21199.37879
A04,45,20383.81818
A04,46,19680.34848
A04,47,18893.71212
A04,48,18148.15152
A04,49,17312.10606
A04,50,16476.10606
A04,51,15623.24242
A04,52,14672.18182
A04,53,13658.4697
A04,54,12657.16667
A04,55,11537.69697
